timeframe,feature_set,fold,cost_bps,selected_upper_threshold,selected_lower_threshold,validation_net_return,validation_sharpe,validation_max_drawdown,validation_turnover
M15,volume_assisted,fold_2,0.0,0.51,0.49,0.07924065099790267,0.5644136321115945,-0.11360273324890224,1560.0
M15,volume_assisted,fold_2,0.5,0.51,0.49,-0.0017407901472489273,-0.012892038344545971,-0.13790520772910297,1560.0
M15,volume_assisted,fold_2,1.0,0.51,0.49,-0.06870771075053062,-0.554218616564178,-0.1507312180936322,1369.0
M15,volume_assisted,fold_2,2.0,0.51,0.49,-0.124415915404959,-1.1609068326727634,-0.15132616492842732,1173.0
M15,volume_assisted,fold_2,3.0,0.51,0.49,-0.14092914029888326,-1.6787248794246368,-0.15488919343718066,749.0
M15,volume_assisted,fold_2,5.0,0.52,0.48,-0.14201609185951125,-2.7467646219175226,-0.15743723243778884,248.0
M15,volume_assisted,fold_3,0.0,0.53,0.47,0.13634140517674842,1.0732527619365857,-0.06481170267934133,1361.0
M15,volume_assisted,fold_3,0.5,0.53,0.47,0.061585778729884355,0.5017772844352398,-0.08060863206677227,1361.0
M15,volume_assisted,fold_3,1.0,0.53,0.47,-0.008251956262875781,-0.06954277348529218,-0.10870392849420252,1361.0
M15,volume_assisted,fold_3,2.0,0.52,0.48,-0.10550160238813411,-1.0852407678832474,-0.15049000631894172,1076.0
M15,volume_assisted,fold_3,3.0,0.52,0.48,-0.12773663253827205,-1.5271916874879805,-0.15002612836992546,651.0
M15,volume_assisted,fold_3,5.0,0.52,0.48,-0.14461391505952648,-1.9731382464150002,-0.15487381417491985,478.0
