timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,volume_assisted,fold_1,minute_of_day_cos,992.6286354064941,56.0
M5,volume_assisted,fold_1,day_of_week_sin,77.55739974975586,6.0
M5,volume_assisted,fold_1,day_of_week_cos,10.140600204467773,1.0
M5,volume_assisted,fold_1,month_sin,244.15979957580566,18.0
M5,volume_assisted,fold_1,month_cos,334.747127532959,23.0
M5,volume_assisted,fold_1,is_after_gap,0.0,0.0
M5,volume_assisted,fold_1,gap_minutes_from_prev_bar,17.387699127197266,1.0
M5,volume_assisted,fold_1,open_rel_prev_close,221.92968940734863,17.0
M5,volume_assisted,fold_1,high_rel_prev_close,244.00580024719238,19.0
M5,volume_assisted,fold_1,low_rel_prev_close,252.13969898223877,19.0
M5,volume_assisted,fold_1,close_rel_prev_close,321.3544235229492,18.0
M5,volume_assisted,fold_1,log_ret_1,168.1913013458252,8.0
M5,volume_assisted,fold_1,log_ret_2,1051.5557765960693,57.0
M5,volume_assisted,fold_1,log_ret_3,505.7548007965088,35.0
M5,volume_assisted,fold_1,log_ret_6,220.46210098266602,17.0
M5,volume_assisted,fold_1,log_ret_12,364.0399007797241,21.0
M5,volume_assisted,fold_1,log_ret_24,302.3510046005249,22.0
M5,volume_assisted,fold_1,log_ret_48,244.6992712020874,19.0
M5,volume_assisted,fold_1,open_to_close_pct,1497.5016250610352,53.0
M5,volume_assisted,fold_1,high_low_range_pct,162.5930004119873,12.0
M5,volume_assisted,fold_1,upper_wick_pct,821.4133434295654,50.0
M5,volume_assisted,fold_1,lower_wick_pct,587.5190029144287,41.0
M5,volume_assisted,fold_1,close_position_in_bar,3012.781093597412,110.0
M5,volume_assisted,fold_1,close_sma_5_ratio,269.5709991455078,14.0
M5,volume_assisted,fold_1,close_ema_5_ratio,10702.639879226685,59.0
M5,volume_assisted,fold_1,rolling_vol_5,467.5526990890503,34.0
M5,volume_assisted,fold_1,close_sma_10_ratio,375.9577980041504,21.0
M5,volume_assisted,fold_1,close_ema_10_ratio,4888.870900154114,47.0
