track,feature_set,mode,feature,mean_gain_importance,mean_split_importance,mean_gain_share,std_gain_share,rank_by_mean_gain
tuned_volume_assisted,volume_assisted,tuned,log_ret_48,626.5933714707693,70.0,0.018758962691874336,0.005326524165196437,19.0
tuned_volume_assisted,volume_assisted,tuned,rolling_vol_200,621.9980270465215,72.66666666666667,0.019071752291267712,0.005615447203628586,20.0
vanilla_price_only,price_only,vanilla,close_ema_5_ratio,2851.1308685938525,73.66666666666667,0.06335380247314983,0.019742229790909584,1.0
vanilla_price_only,price_only,vanilla,close_sma_5_ratio,2850.153525829315,93.66666666666667,0.060718650169393505,0.010922858978839838,2.0
vanilla_price_only,price_only,vanilla,close_position_in_bar,2448.876057624817,175.0,0.0525943272142519,0.01029909447144876,3.0
vanilla_price_only,price_only,vanilla,minute_of_day_cos,2144.3931568463645,177.33333333333334,0.04493112996390356,0.0019216743131720514,4.0
vanilla_price_only,price_only,vanilla,minute_of_day_sin,1872.3940166632335,155.33333333333334,0.03886917299761803,0.0007062678974967627,5.0
vanilla_price_only,price_only,vanilla,log_ret_2,1503.0927186012268,124.33333333333333,0.031264789062236904,0.00709083231581831,6.0
vanilla_price_only,price_only,vanilla,roc_5,1367.4719093640645,119.66666666666667,0.029090507792098565,0.003519526004248148,7.0
vanilla_price_only,price_only,vanilla,log_ret_3,1245.9462229410808,102.66666666666667,0.025875229135044434,0.001300224025568166,8.0
vanilla_price_only,price_only,vanilla,lower_wick_pct,1237.9913063049314,121.0,0.025282384816090603,0.0020247593464030665,9.0
vanilla_price_only,price_only,vanilla,upper_wick_pct,1195.9530402819316,109.0,0.025028627411729367,0.002064330721530614,10.0
vanilla_price_only,price_only,vanilla,close_sma_200_ratio,1143.8413755893707,111.33333333333333,0.023632102342404437,0.0007735632077939862,11.0
vanilla_price_only,price_only,vanilla,roc_10,1109.004269997279,107.0,0.022837875608958003,0.0026105779574367174,12.0
vanilla_price_only,price_only,vanilla,rolling_vol_100,1037.168261051178,103.33333333333333,0.020842194880265466,0.0034683166610197454,13.0
vanilla_price_only,price_only,vanilla,rolling_vol_200,1010.3066228230795,101.0,0.020170403533513,0.004033441640551796,14.0
vanilla_price_only,price_only,vanilla,close_ema_200_ratio,996.4960246086121,96.0,0.0202766657591499,0.0020163481787832407,15.0
vanilla_price_only,price_only,vanilla,rsi_14,986.0548504193624,98.66666666666667,0.020125739008241234,0.002014295393070347,16.0
vanilla_price_only,price_only,vanilla,log_ret_48,970.5491795539856,94.66666666666667,0.019694721442633668,0.0029160614157066,17.0
vanilla_price_only,price_only,vanilla,rolling_vol_5,965.3749356269836,98.33333333333333,0.019817632739081766,0.0032470753768533128,18.0
vanilla_price_only,price_only,vanilla,bb_width_pct_20,958.544235865275,90.66666666666667,0.0201235860702087,0.0011068227062791692,19.0
vanilla_price_only,price_only,vanilla,rolling_vol_10,946.2086406548818,95.0,0.0198399144644293,0.0013515187202817118,20.0
vanilla_volume_assisted,volume_assisted,vanilla,close_sma_5_ratio,3012.630007902781,121.66666666666667,0.058008674565592,0.021589272176462372,1.0
vanilla_volume_assisted,volume_assisted,vanilla,close_ema_5_ratio,2938.9776755174003,99.33333333333333,0.0576121666354264,0.02294223633421715,2.0
vanilla_volume_assisted,volume_assisted,vanilla,close_position_in_bar,2711.235687414805,208.0,0.04891684458341883,0.011649039298606003,3.0
vanilla_volume_assisted,volume_assisted,vanilla,minute_of_day_cos,2467.0178043842316,222.66666666666666,0.04276146128308444,0.009133230493800451,4.0
vanilla_volume_assisted,volume_assisted,vanilla,volume_z20,2291.742371002833,222.33333333333334,0.0385435548031852,0.0038859025134030984,5.0
vanilla_volume_assisted,volume_assisted,vanilla,minute_of_day_sin,2084.5893909136453,196.33333333333334,0.0327723951518088,0.004877199234295636,6.0
vanilla_volume_assisted,volume_assisted,vanilla,log_ret_2,1774.1972852547963,147.66666666666666,0.030503337893031002,0.006897531401902396,7.0
