model_family,track,feature_set,mode,fold,feature,gain_importance,split_importance,gain_share
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_50_ratio,1124.4559025764463,115.0,0.0171517968503319
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_50_ratio,1078.07528090477,106.0,0.0164443338018638
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_50,1211.6403815746307,130.0,0.0184816582249333
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_100_ratio,1367.6375484466553,133.0,0.0208611483492553
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_100_ratio,1115.3029651641846,107.0,0.0170121832623564
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_100,1624.934338569641,165.0,0.0247858040554687
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_200_ratio,1597.6152169704435,161.0,0.0243690940513455
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_200_ratio,1473.8313369750977,151.0,0.0224809666840016
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_200,1598.5574345588684,163.0,0.0243834660908612
lightgbm,vanilla_price_only,price_only,vanilla,2,roc_5,1672.4966378211975,156.0,0.0255112917269978
lightgbm,vanilla_price_only,price_only,vanilla,2,roc_10,1540.8192427158356,155.0,0.0235027612675524
lightgbm,vanilla_price_only,price_only,vanilla,2,roc_20,1191.6410808563232,119.0,0.0181766005145481
lightgbm,vanilla_price_only,price_only,vanilla,2,rsi_14,1432.9365029335022,152.0,0.0218571806519283
lightgbm,vanilla_price_only,price_only,vanilla,2,true_range_pct,1164.5454306602478,106.0,0.0177632992133357
lightgbm,vanilla_price_only,price_only,vanilla,2,atr_pct_14,1115.9940514564514,120.0,0.0170227246910277
lightgbm,vanilla_price_only,price_only,vanilla,2,bb_width_pct_20,1245.323962688446,123.0,0.01899544799573
lightgbm,vanilla_price_only,price_only,vanilla,2,bb_position_20,943.1734480857848,100.0,0.0143866196434454
lightgbm,vanilla_price_only,price_only,vanilla,3,minute_of_day_sin,1580.1417622566223,130.0,0.0380907048030738
lightgbm,vanilla_price_only,price_only,vanilla,3,minute_of_day_cos,1886.7595772743225,145.0,0.0454819964948543
lightgbm,vanilla_price_only,price_only,vanilla,3,day_of_week_sin,224.8437275886536,23.0,0.0054200555032297
lightgbm,vanilla_price_only,price_only,vanilla,3,day_of_week_cos,225.72589015960693,20.0,0.0054413208066861
lightgbm,vanilla_price_only,price_only,vanilla,3,month_sin,266.6294593811035,24.0,0.0064273372628191
lightgbm,vanilla_price_only,price_only,vanilla,3,month_cos,415.981969833374,34.0,0.0100276106832944
lightgbm,vanilla_price_only,price_only,vanilla,3,is_after_gap,23.23902940750122,3.0,0.0005601972115507
lightgbm,vanilla_price_only,price_only,vanilla,3,gap_minutes_from_prev_bar,47.9906702041626,5.0,0.0011568572489583
lightgbm,vanilla_price_only,price_only,vanilla,3,open_rel_prev_close,728.9226069450378,72.0,0.0175713195541257
lightgbm,vanilla_price_only,price_only,vanilla,3,high_rel_prev_close,670.2991495132446,65.0,0.0161581496317125
lightgbm,vanilla_price_only,price_only,vanilla,3,low_rel_prev_close,460.5243501663208,41.0,0.0111013438767425
lightgbm,vanilla_price_only,price_only,vanilla,3,close_rel_prev_close,601.607759475708,52.0,0.0145022833525402
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_1,120.0781192779541,10.0,0.0028945885134969
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_2,987.43657207489,83.0,0.0238030257012822
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_3,1015.9553780555724,80.0,0.0244904965636401
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_6,712.9124803543091,62.0,0.0171853813931366
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_12,869.3134899139404,74.0,0.0209555650743342
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_24,645.6769986152649,59.0,0.015564611062026
lightgbm,vanilla_price_only,price_only,vanilla,3,log_ret_48,862.9165391921997,78.0,0.0208013609596137
lightgbm,vanilla_price_only,price_only,vanilla,3,open_to_close_pct,525.1690001487732,46.0,0.0126596599331849
lightgbm,vanilla_price_only,price_only,vanilla,3,high_low_range_pct,673.2070894241333,60.0,0.0162282480769131
lightgbm,vanilla_price_only,price_only,vanilla,3,upper_wick_pct,1136.9093217849731,96.0,0.0274061975946568
lightgbm,vanilla_price_only,price_only,vanilla,3,lower_wick_pct,1016.6045680046082,96.0,0.024506145857457
lightgbm,vanilla_price_only,price_only,vanilla,3,close_position_in_bar,2604.3269486427307,165.0,0.0627795881236443
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_5_ratio,3012.1719574928284,101.0,0.0726110502168493
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_5_ratio,2928.4273195266724,58.0,0.0705923121771347
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_5,666.7455701828003,64.0,0.0160724874813261
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_10_ratio,561.1092319488525,43.0,0.0135260307821496
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_10_ratio,782.7683029174805,61.0,0.0188693173409023
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_10,795.1431179046631,74.0,0.0191676231232874
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_20_ratio,296.04709243774414,26.0,0.0071364751411608
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_20_ratio,516.35413646698,44.0,0.0124471699032378
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_20,660.5555801391602,61.0,0.0159232723354967
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_50_ratio,569.7284054756165,52.0,0.0137338035290616
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_50_ratio,450.820071220398,43.0,0.010867413710801
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_50,682.420690536499,61.0,0.0164503500227811
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_100_ratio,769.9022302627563,65.0,0.0185591693610361
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_100_ratio,593.9388327598572,54.0,0.014317417139478
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_100,757.744170665741,70.0,0.0182660886576778
lightgbm,vanilla_price_only,price_only,vanilla,3,close_sma_200_ratio,946.928120136261,85.0,0.0228265338942305
lightgbm,vanilla_price_only,price_only,vanilla,3,close_ema_200_ratio,822.3599786758423,69.0,0.0198237094530486
lightgbm,vanilla_price_only,price_only,vanilla,3,rolling_vol_200,820.6812052726746,78.0,0.0197832411459266
lightgbm,vanilla_price_only,price_only,vanilla,3,roc_5,1211.8658595085144,95.0,0.0292130907606285
lightgbm,vanilla_price_only,price_only,vanilla,3,roc_10,1039.2368483543396,95.0,0.0250517168501449
lightgbm,vanilla_price_only,price_only,vanilla,3,roc_20,534.8657536506653,49.0,0.0128934086916895
lightgbm,vanilla_price_only,price_only,vanilla,3,rsi_14,854.7706484794617,78.0,0.0206049971105538
lightgbm,vanilla_price_only,price_only,vanilla,3,true_range_pct,714.9125490188599,59.0,0.0172335948046843
lightgbm,vanilla_price_only,price_only,vanilla,3,atr_pct_14,722.7260346412659,67.0,0.0174219457371355
lightgbm,vanilla_price_only,price_only,vanilla,3,bb_width_pct_20,836.6227235794067,77.0,0.0201675254439806
lightgbm,vanilla_price_only,price_only,vanilla,3,bb_position_20,631.6388807296753,58.0,0.0152262099026217
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,minute_of_day_sin,956.0419993400574,81.0,0.0272418079764406
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,minute_of_day_cos,1443.3669781684875,123.0,0.0411278229261301
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,day_of_week_sin,244.47794008255005,22.0,0.0069662432223708
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,day_of_week_cos,193.38744068145752,19.0,0.0055104519756832
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,month_sin,265.86881923675537,26.0,0.0075757627024443
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,month_cos,340.266640663147,34.0,0.009695681248452
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,is_after_gap,0.0,0.0,0.0
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,gap_minutes_from_prev_bar,46.544089794158936,5.0,0.0013262442000308
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,open_rel_prev_close,427.02937841415405,44.0,0.0121679302113163
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,high_rel_prev_close,516.2957005500793,48.0,0.0147115172169798
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,low_rel_prev_close,445.4127087593079,44.0,0.0126917515032426
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_rel_prev_close,470.6399097442627,42.0,0.0134105845309649
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_1,89.71648979187012,6.0,0.0025564142463589
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_2,1349.5075092315674,90.0,0.0384533571272266
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_3,741.2503252029419,68.0,0.0211214559983678
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_6,623.1972622871399,58.0,0.0177576091451931
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_12,510.5520873069763,49.0,0.0145478566150737
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_24,486.9754204750061,42.0,0.0138760545070027
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,log_ret_48,655.9918789863586,64.0,0.0186920708648642
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,open_to_close_pct,445.14323806762695,38.0,0.0126840731074785
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,high_low_range_pct,698.068510055542,64.0,0.0198910176733448
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,upper_wick_pct,939.5470447540284,88.0,0.026771794749278
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,lower_wick_pct,821.3002524375916,75.0,0.0234024277001965
