track,feature_set,mode,feature,mean_gain_importance,mean_split_importance,mean_gain_share,std_gain_share,rank_by_mean_gain
tuned_volume_assisted,volume_assisted,tuned,rsi_14,530.8532906770706,64.66666666666667,0.01604109024516005,0.004494807945992964,31.0
tuned_volume_assisted,volume_assisted,tuned,true_range_pct,425.67448767026264,47.333333333333336,0.013101356349424746,0.0011828808424453978,41.0
tuned_volume_assisted,volume_assisted,tuned,upper_wick_pct,955.6724181572596,98.33333333333333,0.030833538472262067,0.006671155739619024,8.0
tuned_volume_assisted,volume_assisted,tuned,volume_z20,1310.1113449732463,132.33333333333334,0.041953824037201735,0.008214729912303547,4.0
vanilla_price_only,price_only,vanilla,atr_pct_14,820.3757990201315,83.33333333333333,0.017025260463827397,0.0003954234849842878,28.0
vanilla_price_only,price_only,vanilla,bb_position_20,722.884032090505,72.33333333333333,0.015160199318660432,0.0007427775339892788,37.0
vanilla_price_only,price_only,vanilla,bb_width_pct_20,958.544235865275,90.66666666666667,0.0201235860702087,0.0011068227062791692,19.0
vanilla_price_only,price_only,vanilla,close_ema_100_ratio,790.1024088859558,74.66666666666667,0.016331226782325865,0.0017742080710777418,32.0
vanilla_price_only,price_only,vanilla,close_ema_10_ratio,700.6931455930074,57.666666666666664,0.0148778473077595,0.0034665238447376943,40.0
vanilla_price_only,price_only,vanilla,close_ema_200_ratio,996.4960246086121,96.0,0.0202766657591499,0.0020163481787832407,15.0
vanilla_price_only,price_only,vanilla,close_ema_20_ratio,696.1160947481791,63.666666666666664,0.0137005674890558,0.003598402129024467,41.0
vanilla_price_only,price_only,vanilla,close_ema_50_ratio,708.7441977659861,68.33333333333333,0.014424323532799835,0.0030898308371792,39.0
vanilla_price_only,price_only,vanilla,close_ema_5_ratio,2851.1308685938525,73.66666666666667,0.06335380247314983,0.019742229790909584,1.0
vanilla_price_only,price_only,vanilla,close_position_in_bar,2448.876057624817,175.0,0.0525943272142519,0.01029909447144876,3.0
vanilla_price_only,price_only,vanilla,close_rel_prev_close,720.1048048337301,65.33333333333333,0.0145079422807115,0.0022868092293846197,38.0
vanilla_price_only,price_only,vanilla,close_sma_100_ratio,868.2300101915995,81.33333333333333,0.017300954455214037,0.0043286919892157934,21.0
vanilla_price_only,price_only,vanilla,close_sma_10_ratio,833.3751781781515,71.66666666666667,0.016700712026631568,0.003386966040493594,27.0
vanilla_price_only,price_only,vanilla,close_sma_200_ratio,1143.8413755893707,111.33333333333333,0.023632102342404437,0.0007735632077939862,11.0
vanilla_price_only,price_only,vanilla,close_sma_20_ratio,459.15656820933026,43.0,0.0093002460648517,0.0019236864479049466,44.0
