timeframe,feature,reference_years,comparison_year,year_rows,is_partial_final_year,used_in_drift_score,psi
M5,day_of_week_sin,2016-2018,2020,70707,False,True,0.0002329821745631995
M5,day_of_week_sin,2016-2018,2021,70558,False,True,0.00016373214627195078
M5,day_of_week_sin,2016-2018,2022,70571,False,True,5.5589677860297235e-06
M5,day_of_week_sin,2016-2018,2023,70003,False,True,4.419332124706672e-05
M5,day_of_week_sin,2016-2018,2024,70829,False,True,0.0003264865917128781
M5,day_of_week_sin,2016-2018,2025,70583,False,True,0.0002838530510876197
M5,day_of_week_sin,2016-2018,2026,17273,True,False,0.0021135326110877533
M5,is_after_gap,2016-2018,2019,69237,False,True,
M5,is_after_gap,2016-2018,2020,70707,False,True,
M5,is_after_gap,2016-2018,2021,70558,False,True,
M5,is_after_gap,2016-2018,2022,70571,False,True,
M5,is_after_gap,2016-2018,2023,70003,False,True,
M5,is_after_gap,2016-2018,2024,70829,False,True,
M5,is_after_gap,2016-2018,2025,70583,False,True,
M5,is_after_gap,2016-2018,2026,17273,True,False,
M15,log_ret_1,2016-2018,2019,22310,False,True,0.0015366279859995021
M15,log_ret_1,2016-2018,2020,23327,False,True,0.14680266824856514
M15,log_ret_1,2016-2018,2021,23314,False,True,0.023547318694963883
M15,log_ret_1,2016-2018,2022,23290,False,True,0.05955387748796366
M15,log_ret_1,2016-2018,2023,22985,False,True,0.003509238192770107
M15,log_ret_1,2016-2018,2024,23382,False,True,0.03168305587073751
M15,log_ret_1,2016-2018,2025,23327,False,True,0.16046001737148086
M15,log_ret_1,2016-2018,2026,5708,True,False,0.718578654718917
M15,log_ret_6,2016-2018,2019,22310,False,True,0.0014729382062799437
M15,log_ret_6,2016-2018,2020,23327,False,True,0.11455214454686391
M15,log_ret_6,2016-2018,2021,23314,False,True,0.01665261915408897
M15,log_ret_6,2016-2018,2022,23290,False,True,0.04936784983177162
M15,log_ret_6,2016-2018,2023,22985,False,True,0.0018568255515873796
M15,log_ret_6,2016-2018,2024,23382,False,True,0.03282739492618812
M15,log_ret_6,2016-2018,2025,23327,False,True,0.17800384370707173
M15,log_ret_6,2016-2018,2026,5708,True,False,0.7242486333321752
M15,log_ret_12,2016-2018,2019,22310,False,True,0.0016157994504632123
M15,log_ret_12,2016-2018,2020,23327,False,True,0.11787648610457777
M15,log_ret_12,2016-2018,2021,23314,False,True,0.016860561031503855
M15,log_ret_12,2016-2018,2022,23290,False,True,0.052688313502525376
M15,log_ret_12,2016-2018,2023,22985,False,True,0.0026115015660096393
M15,log_ret_12,2016-2018,2024,23382,False,True,0.03927475691865622
M15,log_ret_12,2016-2018,2025,23327,False,True,0.19116402279615485
M15,log_ret_12,2016-2018,2026,5708,True,False,0.7250601908542837
M15,high_low_range_pct,2016-2018,2019,22310,False,True,0.02549332350655119
M15,high_low_range_pct,2016-2018,2020,23327,False,True,0.47202192315899005
M15,high_low_range_pct,2016-2018,2021,23314,False,True,0.05719689386550583
M15,high_low_range_pct,2016-2018,2022,23290,False,True,0.17238093224203072
M15,high_low_range_pct,2016-2018,2023,22985,False,True,0.004282752189387038
M15,high_low_range_pct,2016-2018,2024,23382,False,True,0.09555690957953149
M15,high_low_range_pct,2016-2018,2025,23327,False,True,0.5481487138920439
M15,high_low_range_pct,2016-2018,2026,5708,True,False,2.6646583275122193
M15,open_to_close_pct,2016-2018,2019,22310,False,True,0.0018614794582193872
M15,open_to_close_pct,2016-2018,2020,23327,False,True,0.14964558308357556
M15,open_to_close_pct,2016-2018,2021,23314,False,True,0.024498695949267024
M15,open_to_close_pct,2016-2018,2022,23290,False,True,0.061060868684477104
M15,open_to_close_pct,2016-2018,2023,22985,False,True,0.003698693987853178
M15,open_to_close_pct,2016-2018,2024,23382,False,True,0.03312773421897898
M15,open_to_close_pct,2016-2018,2025,23327,False,True,0.16097092109906314
M15,open_to_close_pct,2016-2018,2026,5708,True,False,0.7269581859445936
M15,close_sma_20_ratio,2016-2018,2019,22310,False,True,0.001949680112636344
M15,close_sma_20_ratio,2016-2018,2020,23327,False,True,0.10601590870464883
M15,close_sma_20_ratio,2016-2018,2021,23314,False,True,0.01802389809347558
M15,close_sma_20_ratio,2016-2018,2022,23290,False,True,0.05501349976879713
M15,close_sma_20_ratio,2016-2018,2023,22985,False,True,0.002385164318089243
M15,close_sma_20_ratio,2016-2018,2024,23382,False,True,0.039363250863321556
M15,close_sma_20_ratio,2016-2018,2025,23327,False,True,0.18731355326555343
M15,close_sma_20_ratio,2016-2018,2026,5708,True,False,0.7157779501120201
M15,close_ema_20_ratio,2016-2018,2019,22310,False,True,0.0023766512553203734
M15,close_ema_20_ratio,2016-2018,2020,23327,False,True,0.10577168315813723
M15,close_ema_20_ratio,2016-2018,2021,23314,False,True,0.019577560842702454
M15,close_ema_20_ratio,2016-2018,2022,23290,False,True,0.0586335140631846
M15,close_ema_20_ratio,2016-2018,2023,22985,False,True,0.002743698367589516
M15,close_ema_20_ratio,2016-2018,2024,23382,False,True,0.039510194920003634
M15,close_ema_20_ratio,2016-2018,2025,23327,False,True,0.18893472351617785
M15,close_ema_20_ratio,2016-2018,2026,5708,True,False,0.7088627203331561
M15,rolling_vol_20,2016-2018,2019,22310,False,True,0.03149675086173116
M15,rolling_vol_20,2016-2018,2020,23327,False,True,0.6423070619698155
M15,rolling_vol_20,2016-2018,2021,23314,False,True,0.10029287895869389
M15,rolling_vol_20,2016-2018,2022,23290,False,True,0.25153316535388576
M15,rolling_vol_20,2016-2018,2023,22985,False,True,0.015193879962782948
M15,rolling_vol_20,2016-2018,2024,23382,False,True,0.1211340194724689
M15,rolling_vol_20,2016-2018,2025,23327,False,True,0.7508418635859233
M15,rolling_vol_20,2016-2018,2026,5708,True,False,5.22303701781327
M15,roc_10,2016-2018,2019,22310,False,True,0.0018109583492304084
M15,roc_10,2016-2018,2020,23327,False,True,0.11565329983786068
M15,roc_10,2016-2018,2021,23314,False,True,0.016144480832929017
M15,roc_10,2016-2018,2022,23290,False,True,0.054152548176809714
M15,roc_10,2016-2018,2023,22985,False,True,0.0017845590067086324
M15,roc_10,2016-2018,2024,23382,False,True,0.03849896486343274
M15,roc_10,2016-2018,2025,23327,False,True,0.18290177896227036
M15,roc_10,2016-2018,2026,5708,True,False,0.7196288940924142
M15,rsi_14,2016-2018,2019,22310,False,True,0.0012318496382741284
M15,rsi_14,2016-2018,2020,23327,False,True,0.011864112195204652
M15,rsi_14,2016-2018,2021,23314,False,True,0.0010368156032885803
M15,rsi_14,2016-2018,2022,23290,False,True,0.0017122085024699467
M15,rsi_14,2016-2018,2023,22985,False,True,0.0019183019274823221
M15,rsi_14,2016-2018,2024,23382,False,True,0.007329888729559876
M15,rsi_14,2016-2018,2025,23327,False,True,0.015114490390295644
M15,rsi_14,2016-2018,2026,5708,True,False,0.014292580080200663
M15,atr_pct_14,2016-2018,2019,22310,False,True,0.06515791063289157
M15,atr_pct_14,2016-2018,2020,23327,False,True,0.7845811103925188
