rows,up_rate,mean_abs_return_bps,std_return_bps,timeframe,month
6066,0.49538410814375206,2.349388880659574,3.495832862006687,M5,2017-10-01 00:00:00+00:00
5946,0.49764547595021863,2.248724108240417,3.4356059303607793,M5,2017-11-01 00:00:00+00:00
5480,0.506021897810219,1.9768962379099901,3.1682319129673493,M5,2017-12-01 00:00:00+00:00
6009,0.5142286570144783,2.7320322235115984,3.9798067919269875,M5,2018-01-01 00:00:00+00:00
5452,0.48165810711665447,3.028918684597342,4.501883960200766,M5,2018-02-01 00:00:00+00:00
5762,0.4878514404720583,2.5746540305260415,3.773803869747741,M5,2018-03-01 00:00:00+00:00
5784,0.4870331950207469,2.674295636164399,3.9793608721186198,M5,2018-04-01 00:00:00+00:00
6267,0.4801340354236477,2.39376095854634,3.537019282200888,M5,2018-05-01 00:00:00+00:00
5740,0.48118466898954704,2.1809919538072906,3.1376648823377633,M5,2018-06-01 00:00:00+00:00
6014,0.4822081809112072,2.336361948116952,3.3193521359759455,M5,2018-07-01 00:00:00+00:00
6281,0.48177041872313325,2.6466629066715104,3.7611703560873204,M5,2018-08-01 00:00:00+00:00
5451,0.4876169510181618,2.4680571121867723,3.688730564511845,M5,2018-09-01 00:00:00+00:00
6286,0.5006363347120586,2.6961218639036915,3.888458301130172,M5,2018-10-01 00:00:00+00:00
5800,0.4906896551724138,2.4912122028350847,3.6381245980025274,M5,2018-11-01 00:00:00+00:00
5335,0.49053420805998127,2.3980062091661987,3.509461719575528,M5,2018-12-01 00:00:00+00:00
5858,0.48634346193240013,2.271183212555294,3.3050488901159465,M5,2019-01-01 00:00:00+00:00
5303,0.4833113332076183,2.1411246655773555,3.115228309259268,M5,2019-02-01 00:00:00+00:00
5568,0.49353448275862066,2.3711969705718015,3.5789786780533506,M5,2019-03-01 00:00:00+00:00
5574,0.4872622891998565,2.1299373701494133,3.107890052956468,M5,2019-04-01 00:00:00+00:00
6071,0.485587217921265,2.0721185737026833,3.1770424671898376,M5,2019-05-01 00:00:00+00:00
5443,0.5105640271908873,3.4988241056388434,5.578357645309507,M5,2019-06-01 00:00:00+00:00
6244,0.5,3.3353293719790975,5.439192737128441,M5,2019-07-01 00:00:00+00:00
5999,0.5032505417569595,4.255972297402542,6.422481833037085,M5,2019-08-01 00:00:00+00:00
5736,0.49215481171548114,3.6292170983508356,5.474564248798983,M5,2019-09-01 00:00:00+00:00
6241,0.49190834802115047,3.0506161771519484,4.847036653852226,M5,2019-10-01 00:00:00+00:00
5592,0.492310443490701,2.553397665943678,3.848107744541466,M5,2019-11-01 00:00:00+00:00
5608,0.5005349500713266,2.0740997932907472,3.3361843538028846,M5,2019-12-01 00:00:00+00:00
5972,0.5130609511051574,3.1152670133247073,4.813384516010642,M5,2020-01-01 00:00:00+00:00
5434,0.5058888479941112,3.8605968390925356,6.257467611980723,M5,2020-02-01 00:00:00+00:00
6039,0.5030634210962079,9.878545614657268,14.992589517813656,M5,2020-03-01 00:00:00+00:00
5763,0.5028630921395106,6.089741294903379,8.531078342306582,M5,2020-04-01 00:00:00+00:00
5719,0.5069068018884421,4.077759633209022,5.883742695860714,M5,2020-05-01 00:00:00+00:00
6043,0.49859341386728445,3.9837443348530326,5.653437551751245,M5,2020-06-01 00:00:00+00:00
6240,0.5089743589743589,3.9301861437389918,6.257036585647005,M5,2020-07-01 00:00:00+00:00
5798,0.5072438771990342,6.458888481553573,9.537901356430803,M5,2020-08-01 00:00:00+00:00
5996,0.49649766511007337,4.6758307900509095,6.7066292193846975,M5,2020-09-01 00:00:00+00:00
6025,0.5045643153526971,3.646574878192034,5.175666906910941,M5,2020-10-01 00:00:00+00:00
5691,0.5020207344930592,4.2127702206943285,6.541264184506665,M5,2020-11-01 00:00:00+00:00
5987,0.5146149991648572,3.8939227842217696,5.661373496310234,M5,2020-12-01 00:00:00+00:00
5460,0.5029304029304029,4.639882550753165,6.852314731370296,M5,2021-01-01 00:00:00+00:00
5450,0.5025688073394495,4.482581253367535,6.5450923131349015,M5,2021-02-01 00:00:00+00:00
6335,0.4964483030781373,4.2462554973759,6.010962585208875,M5,2021-03-01 00:00:00+00:00
5744,0.49686629526462395,3.286206565057474,4.683713960936165,M5,2021-04-01 00:00:00+00:00
5744,0.5107938718662952,3.379327237480954,5.368149484588372,M5,2021-05-01 00:00:00+00:00
6043,0.48916101274201557,3.3875822021542494,5.270260690980568,M5,2021-06-01 00:00:00+00:00
