date,daily_net_log_return,daily_gross_log_return,daily_cost,active_bars,turnover_units,daily_net_return,model_family,track,fold,equity,display_name
2022-01-02 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,1.0,LightGBM | tuned volume assisted
2022-03-18 00:00:00+00:00,-0.003787444000381387,-0.003387444000381387,0.0004,8,4.0,-0.003780280680764303,LightGBM,tuned_volume_assisted,1,0.940978277114598,LightGBM | tuned volume assisted
2022-03-20 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.940978277114598,LightGBM | tuned volume assisted
2022-03-21 00:00:00+00:00,0.00020078047877810902,0.0008007804787781092,0.0006000000000000001,14,6.0,0.00020080063652749836,LightGBM,tuned_volume_assisted,1,0.9411672261516012,LightGBM | tuned volume assisted
2022-03-22 00:00:00+00:00,-0.003838272617559121,-0.003438272617559121,0.0004,8,4.0,-0.003830915864633355,LightGBM,tuned_volume_assisted,1,0.937561693693664,LightGBM | tuned volume assisted
2022-03-23 00:00:00+00:00,-0.006173126802839646,-0.005573126802839645,0.0006000000000000001,51,6.0,-0.0061541122022107375,LightGBM,tuned_volume_assisted,1,0.9317918338341785,LightGBM | tuned volume assisted
2022-03-24 00:00:00+00:00,-0.0026306925592333645,-0.0020306925592333642,0.0006000000000000001,30,6.0,-0.0026272353198718568,LightGBM,tuned_volume_assisted,1,0.9293437974175611,LightGBM | tuned volume assisted
2022-03-25 00:00:00+00:00,-0.0007475290943006281,-0.00034752909430062814,0.0004,8,4.0,-0.0007472497640340636,LightGBM,tuned_volume_assisted,1,0.9286493454842344,LightGBM | tuned volume assisted
2022-03-27 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.9286493454842344,LightGBM | tuned volume assisted
2022-03-28 00:00:00+00:00,-0.006525483540868957,-0.005925483540868957,0.0006000000000000001,39,6.0,-0.006504238808981988,LightGBM,tuned_volume_assisted,1,0.9226091883714,LightGBM | tuned volume assisted
2022-03-29 00:00:00+00:00,-0.001235707283743995,-0.0008357072837439953,0.0004,7,4.0,-0.001234944111883185,LightGBM,tuned_volume_assisted,1,0.9214698175866516,LightGBM | tuned volume assisted
2022-03-30 00:00:00+00:00,-0.0005900121052055086,9.987894794491578e-06,0.0006000000000000001,26,6.0,-0.0005898380822902949,LightGBM,tuned_volume_assisted,1,0.9209262995965579,LightGBM | tuned volume assisted
2022-03-31 00:00:00+00:00,-0.0038478914837430946,-0.0032478914837430943,0.0006000000000000001,48,6.0,-0.0038404978356664232,LightGBM,tuned_volume_assisted,1,0.9173894841361491,LightGBM | tuned volume assisted
2022-04-01 00:00:00+00:00,-0.0008264017673570407,-0.00032640176735704155,0.0005,48,5.0,-0.0008260603914608255,LightGBM,tuned_volume_assisted,1,0.9166316650197615,LightGBM | tuned volume assisted
2022-04-03 00:00:00+00:00,-0.0001,0.0,0.0001,0,1.0,-9.999500016666385e-05,LightGBM,tuned_volume_assisted,1,0.9165400064362651,LightGBM | tuned volume assisted
2022-04-04 00:00:00+00:00,0.001905763396476384,0.002505763396476385,0.0006000000000000001,36,6.0,0.0019075805176891336,LightGBM,tuned_volume_assisted,1,0.9182883802962255,LightGBM | tuned volume assisted
2022-04-05 00:00:00+00:00,-0.004720788254676599,-0.0043207882546766,0.0004,8,4.0,-0.004709662847585894,LightGBM,tuned_volume_assisted,1,0.9139635516281746,LightGBM | tuned volume assisted
2022-04-06 00:00:00+00:00,-0.0025762680549462997,-0.0021762680549463,0.0004,8,4.0,-0.002572952324415567,LightGBM,tuned_volume_assisted,1,0.9116119669835817,LightGBM | tuned volume assisted
2022-04-07 00:00:00+00:00,-0.00020485154146357112,9.514845853642872e-05,0.00030000000000000003,6,3.0,-0.00020483056081921358,LightGBM,tuned_volume_assisted,1,0.9114252409931349,LightGBM | tuned volume assisted
2022-04-08 00:00:00+00:00,-0.00149173885561896,-0.00099173885561896,0.0005,11,5.0,-0.0014906267662633255,LightGBM,tuned_volume_assisted,1,0.9100666461334626,LightGBM | tuned volume assisted
2022-04-10 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.9100666461334626,LightGBM | tuned volume assisted
2022-04-11 00:00:00+00:00,0.003504837773566383,0.004104837773566382,0.0006000000000000001,36,6.0,0.003510986899273316,LightGBM,tuned_volume_assisted,1,0.9132618782055026,LightGBM | tuned volume assisted
2022-04-12 00:00:00+00:00,0.006509406738466476,0.007109406738466476,0.0006000000000000001,61,6.0,0.006530638971254943,LightGBM,tuned_volume_assisted,1,0.9192260618182729,LightGBM | tuned volume assisted
2022-04-13 00:00:00+00:00,0.005394581167397847,0.005994581167397847,0.0006000000000000001,16,6.0,0.0054091581207817985,LightGBM,tuned_volume_assisted,1,0.9241983009353916,LightGBM | tuned volume assisted
2022-04-14 00:00:00+00:00,0.0017625344688420451,0.0022625344688420447,0.0005,55,5.0,0.0017640886456815608,LightGBM,tuned_volume_assisted,1,0.9258286686644299,LightGBM | tuned volume assisted
2022-04-17 00:00:00+00:00,-0.0001,0.0,0.0001,0,1.0,-9.999500016666385e-05,LightGBM,tuned_volume_assisted,1,0.9257360904265525,LightGBM | tuned volume assisted
2022-04-18 00:00:00+00:00,-0.0013852436433632687,-0.0007852436433632686,0.0006000000000000001,22,6.0,-0.0013842846362581707,LightGBM,tuned_volume_assisted,1,0.9244546081793453,LightGBM | tuned volume assisted
2022-04-19 00:00:00+00:00,-0.0009973054168652,-0.0007973054168652002,0.0002,4,2.0,-0.0009968082730997807,LightGBM,tuned_volume_assisted,1,0.923533104177807,LightGBM | tuned volume assisted
2022-04-20 00:00:00+00:00,-0.0035084695184856504,-0.00290846951848565,0.0006000000000000001,33,6.0,-0.0035023220308304515,LightGBM,tuned_volume_assisted,1,0.9202985938408439,LightGBM | tuned volume assisted
2022-04-21 00:00:00+00:00,0.0052840012099071845,0.005884001209907184,0.0006000000000000001,47,6.0,0.00529798616562438,LightGBM,tuned_volume_assisted,1,0.9251743230592563,LightGBM | tuned volume assisted
2022-04-22 00:00:00+00:00,0.0006382641188997001,0.0011382641188997006,0.0005,31,5.0,0.0006384678527855403,LightGBM,tuned_volume_assisted,1,0.9257650171227522,LightGBM | tuned volume assisted
2022-04-24 00:00:00+00:00,-0.0001,0.0,0.0001,0,1.0,-9.999500016666385e-05,LightGBM,tuned_volume_assisted,1,0.9256724452497107,LightGBM | tuned volume assisted
