date,daily_net_log_return,daily_gross_log_return,daily_cost,active_bars,turnover_units,daily_net_return,model_family,track,fold
2022-04-27 00:00:00+00:00,-0.007544717304213304,-0.007144717304213305,0.0004,80,4.0,-0.007516327367495856,LightGBM,vanilla_price_only,1
2022-04-28 00:00:00+00:00,-6.964102185028099e-05,0.00033035897814971893,0.0004,11,4.0,-6.963859697062258e-05,LightGBM,vanilla_price_only,1
2022-04-29 00:00:00+00:00,0.002276257086527766,0.002576257086527766,0.00030000000000000003,80,3.0,0.0022788497264882857,LightGBM,vanilla_price_only,1
2022-05-01 00:00:00+00:00,0.0007378948422130571,0.0010378948422130573,0.00030000000000000003,4,3.0,0.0007381671535870993,LightGBM,vanilla_price_only,1
2022-05-02 00:00:00+00:00,-0.014015592314520969,-0.013615592314520968,0.0004,78,4.0,-0.013917831160327077,LightGBM,vanilla_price_only,1
2022-05-03 00:00:00+00:00,0.0044377524511089225,0.005037752451108922,0.0006000000000000001,80,6.0,0.004447613856613408,LightGBM,vanilla_price_only,1
2022-05-04 00:00:00+00:00,0.0068314133201268544,0.007431413320126855,0.0006000000000000001,82,6.0,0.006854800649942483,LightGBM,vanilla_price_only,1
2022-05-05 00:00:00+00:00,0.009748924326911589,0.010148924326911588,0.0004,80,4.0,0.009796599892223146,LightGBM,vanilla_price_only,1
2022-05-06 00:00:00+00:00,-0.006307672788313452,-0.006007672788313452,0.00030000000000000003,80,3.0,-0.006287821181388709,LightGBM,vanilla_price_only,1
2022-05-08 00:00:00+00:00,0.0016629562837098318,0.0019629562837098317,0.00030000000000000003,4,3.0,0.0016643397622924105,LightGBM,vanilla_price_only,1
2022-05-09 00:00:00+00:00,-0.0008846356915372,-0.00048463569153720014,0.0004,12,4.0,-0.0008842445167414059,LightGBM,vanilla_price_only,1
2022-05-10 00:00:00+00:00,-5.647167312560016e-05,0.0003435283268743999,0.0004,8,4.0,-5.647007863063269e-05,LightGBM,vanilla_price_only,1
2022-05-11 00:00:00+00:00,0.007677846755854902,0.008077846755854904,0.0004,76,4.0,0.007707397000261462,LightGBM,vanilla_price_only,1
2022-05-12 00:00:00+00:00,0.016406563220282347,0.016806563220282348,0.0004,76,4.0,0.016541889947847777,LightGBM,vanilla_price_only,1
